"Название товара",Артикул,"Описание товара","Дроп цена для партнера","Рекомендовання розничная цена",Наличие,Изображения,"Категории товара",Подкатегории
"Электрическая точилка для ножей и ножниц ELECTRIC SHARPENER 220В, Электронная точилка для заточки ножей",ws72772,"<p>Наточить нож с помощью точилки для ножей по силам даже женщине!<br />Хорошо заточенный нож на кухне &ndash; мечта каждой хозяйки или охотника. Заточка ножей дело сложное и трудоемкое. Необходимо знать, как правильно точить нож и иметь опыт.</p>
<p>Точилка для ножей производит заточку инструмента в течение нескольких секунд.Заточка ножей производится легко и непринужденно,не требуя никаких навыков в работе.</p>
<p>Преимуществом данной точилки является возможность заточки ножей с зубчатым лезвием и заточка ножниц.</p>
<p>Для того чтобы Ваш нож снова был острый, нужно только провести несколько раз лезвием ножа взад-вперед по специальному разъему на корпусе точила. То же самое нужно сделать для ножниц и отверток с узким и широким основанием.</p>
<p>Прибор для заточки инструментов изготовлен из высококачественного материала,что гарантирует его долговечность в использовании.</p>
<p>Теперь у Вас всегда под рукой будет хорошо и правильно заточенный нож &ndash; достаточно купить точило для ножей и ножниц.</p>
<p><b>Преимущество:</b></p>
<ul>
<li>пластиковый корпус;</li>
<li>металлические элементы для заточки;</li>
<li>металлический внутренний корпус;</li>
<li>питание 220 В;</li>
<li>мощность 50 Гц, 20 Вт</li>
<li>разъем для заточки ножей, ножниц, отверток с узким и широким основанием;</li>
<li>размеры 15 х 9 х 6 см.</li>
</ul>",203,319,instock,"https://www.websklad.biz.ua/wp-content/uploads/kcfyavfuekafvy.jpg,https://www.websklad.biz.ua/wp-content/uploads/ufvyafukafvy.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/118109293_images_13803440251.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/118109293_images_13803441439.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/118109293_images_13803440911.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2958.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2956.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2957.jpg,https://www.websklad.biz.ua/wp-content/uploads/kcfyvauvfy-2.jpg,https://www.websklad.biz.ua/wp-content/uploads/kucfvyafvy.jpg,https://www.websklad.biz.ua/wp-content/uploads/kcfvyaukavfvy-1.jpg,https://www.websklad.biz.ua/wp-content/uploads/3ucfyvakuavyf.jpg,https://www.websklad.biz.ua/wp-content/uploads/ufyvauavyfvay.jpg,https://www.websklad.biz.ua/wp-content/uploads/ucfyvapkeafvayfv.jpg,https://www.websklad.biz.ua/wp-content/uploads/ucfvyaukafvya.jpg,https://www.websklad.biz.ua/wp-content/uploads/cfyavvvyf.jpg,https://www.websklad.biz.ua/wp-content/uploads/ucfyvaafvy.jpg,https://www.websklad.biz.ua/wp-content/uploads/ucfyvafvyf.jpg,https://www.websklad.biz.ua/wp-content/uploads/118109293_images_13803439621.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/118109293_images_13803439621.jpg","Все для кухни","Точилки ножей"
"Электрический гриль для барбекю LIVSTAR LSU-1319",ws98431,"<b>Электрический гриль для барбекю Livstar LSU-1319 2000W Барбекю-гриль мощный электрический 2000 Вт.</b>
<ul>
 	<li>Электрический мощный гриль прекрасное решение для кафе и ресторанов fast food, быстро приготовит или разогреет шаурму, хот-доги, шау чак, панини, гамбургеры и сендвичи.</li>
 	<li>Профессиональный электрогриль простое и функциональное оборудование, которое позволит разнообразить меню в заведениии и дома.</li>
 	<li>Вы сможете приготовить мясо, рыбу, блины, бутерброды об этом позаботились производители, оснастив гриль решеткой и поддоном.</li>
 	<li>Большой гриль позволяет готовить одновременно несколько попорций. Вы можете установить таймер на определенное время и заниматься своими делами – все остальное прибор возьмет на себя.</li>
 	<li>Если мясо слишком жирное, то его излишек будет стекать в специальную емкость, оставляя само мясо очень сочным и аппетитным.</li>
</ul>
<b>Характеристики:</b>
<ul>
 	<li>Максимальная мощность: 2000 Вт;</li>
 	<li>Изготовлена из высококачественных материалов;</li>
 	<li>Автоматическое/ручное выключение;</li>
 	<li>Безопасная система контроля температуры;</li>
 	<li>Защита от перегрева;</li>
 	<li>Питание: 220-240В ~ 50 / 60Гц</li>
 	<li>Цвет: черный, металик;</li>
 	<li>Размер, см: 48 x 29,5</li>
</ul>",310,419,outofstock,"https://www.websklad.biz.ua/wp-content/uploads/2020/10/252131046_images_20129023871.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/252131046_images_20129022891.png,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2898.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2897.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2899.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2900.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/12924632270009_small11.jpeg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/252131046_images_20129024701.jpg","Все для кухни",
"Эпилятор пемза GEMEI GM-3061 4в1",ws49657,"Теперь с помощью этого эпилятора Gemei GM-3061 4 в 1 Вы сможете в домашних условиях сделать себе эпиляцию, а также педикюр. Эпилятор-пемза-бритва прост и удобен в эксплуатации. Его можно использовать на сухой коже без применения специальных средств. Волоски удаляются вместе с корневой луковицей и эффект от процедуры сохраняется до 4-х недель.

Прибор имеет два рабочих режима скорости вращения головок для уменьшения болевых ощущений на чувствительных местах. Модель отличается эргономичным корпусом, имеет плавные контуры и специальный антискользящий рельеф. Металлическая вставка с цветочным принтом и такие же блестящие кнопки придают изделию красивый внешний вид.
Эпилятор работает от встроенного аккумулятора. Отсутствие провода питания позволяет не привязываться к расположению розеток в помещении. Продолжительность непрерывного функционирования на одном заряде составляет 45 минут. Для подзарядки батареи в комплекте имеется сетевой адаптер.

В комплекте к эпилятору идет четыре сменные насадки:
<ul>
 	<li>бритвенная с двойным лезвием и триммером для легкого сбривания;</li>
 	<li>малая эпилирующая насадка для чувствительных зон (область бикини, подмышки);</li>
 	<li>большая эпилирующая головка (32 пинцета) для удаления волос на ногах, руках;</li>
 	<li>насадка-пемза для избавления от мозолей, натоптышей, огрубевшей кожи на ступнях.</li>
</ul>
<strong>Характеристики:</strong>
<ul>
 	<li>Тип эпиляции: сухая</li>
 	<li>Система питания: аккумулятор</li>
 	<li>INPUT: 220 – 240V – 50Hz</li>
 	<li>OUTPUT: 3V 300mA 3W</li>
 	<li>Время зарядки 10 часов</li>
 	<li>Количество скоростей: 2</li>
 	<li>Количество пинцетов: 32</li>
 	<li>Насадки:</li>
 	<li>Бритвенная 40 мм</li>
 	<li>Для чувствительных участков 20 мм</li>
 	<li>Насадка для эпиляции 33 мм</li>
 	<li>Насадка для шлифовки ступней 33 мм</li>
 	<li>Продолжительность непрерывной работы от аккумулятора: 45 мин</li>
</ul>
<strong>Комплектация:</strong>
<ul>
 	<li>4 насадки в комплекте</li>
 	<li>Щеточка для чистки</li>
 	<li>Блок питания</li>
 	<li>Упаковка</li>
</ul>",416,499,outofstock,"https://www.websklad.biz.ua/wp-content/uploads/2020/10/76144128_images_11348327472.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/76144128_images_11348327736.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/76144128_images_11348327988.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2955.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2948.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2949.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2950.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2951.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2952.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2953.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2954.jpg","Красота и здоровье","Бритвы / эпиляторы"
"Степлер для подвязки растений усиленный TAPETOOL",ws95695,"Усиленный тапенер Tapetool - это степлер для подвязки винограда, овощей и цветов, подвязочный инструмент.  Выбор профессиональных садоводов и овощеводов с 1968 г

Усиленный механический степплер предназначен для связывания и фиксации лоз винограда, веток и побегов овощей и цветочных растений к опоре, шпалере.

Этот степлер садовый имеет ряд преимуществ, таких как:
<ul>
 	<li>Не оставляет после подвязки кусок ленты (Scrap Free);</li>
 	<li>Более легкое нажатие;</li>
 	<li>Более продолжительный срок службы;</li>
 	<li>В 3-5 раз ускоряет процесс подвязки растений.</li>
</ul>
Для продолжительного использования тапенера соблюдайте условия техобслуживания:
<ul>
 	<li>сохраняйте от загрязнений, в степлер не должна попадать пыль и мелкий сор;</li>
 	<li>избегайте хранения инструмента во влажной среде.В степплер уже заряжен маток ленты и обойма скоб,также их можно докупить отдельно.</li>
</ul>",307,697,outofstock,"https://www.websklad.biz.ua/wp-content/uploads/2020/10/175864725_images_20163932261.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317871331.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317870347.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317869657.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317870059.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317868793.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317868379.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317867965.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/215177737_images_18317867581.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/175864725_images_20163933611.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/175864725_images_20163933191.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/175864725_images_20163932771.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/175864725_images_20163931601.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2880.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2881.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_2882.jpg","Товары для дома и сада",
"Bluetooth-колонка TG-117 портативная влагостойкая. Цвет: черный",ws96725-1,"Беспроводная мобильная Bluetooth влагостойкая колонка, с яркой внешностью и прекрасным звуком. Стильная колонка с аккумулятором на 1200 мАч позволит вам наслаждаться музыкой долгое время. Помимо беспроводной связи через Bluetooth, вы можете воспроизводить звук через линейный вход, так же через порт USB (флешка) и карту памяти TF. Колонка подключается через Bluetooth. Ее можно использовать для громкой связи. Корпус изготовлен из очень твердой резины и пластмассы.Эту вещь приятно взять в руки. Колонка не скользит по гладкой поверхности. Во время прослушивания колонку лучше располагать на подставке.

<strong>Характеристики:</strong>
<ul>
 	<li>Беспроводная портативная колонка Bluetooth</li>
 	<li>Bluetooth: 4.2</li>
 	<li>Расстояние Bluetooth 10 метров</li>
 	<li>Сопротивление: 4 Ом</li>
 	<li>Частотный диапазон 50 Гц-20 кГц</li>
 	<li>Суммарная мощность 10 Вт  (2 по 5 вт. каждая)</li>
 	<li>Чувствительность динамика: 90 dB</li>
 	<li>Емкость аккумулятора: 1200 мАч 3.7V</li>
 	<li>Кабель для зарядки: Micro USB</li>
 	<li>Вес: 385 г</li>
 	<li>Зарядка колонки: 5V / 500mA - 2A</li>
 	<li>Размеры колонки: 69х69х160 мм</li>
</ul>
<strong>Комплектация:</strong>
<ul>
 	<li>Портативная колонка T&amp;G</li>
 	<li>AUX провод для подключения колонки и телефона</li>
 	<li>Кабель micro USB</li>
 	<li>Подарочная картонная Коробка</li>
</ul>",218,349,outofstock,"https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3257.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/81193029_images_11683190817.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/IMG_3160.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/81193029_images_11683192479.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/81193029_images_11683191231.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/10/81193029_images_11683191825.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3258.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3259.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3254.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3255.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3256.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3253.jpg","Колонки и акустика","Портативные колонки"
"Зажигалка электрическая, электронная зажигалка спиральная подарочная, сенсорная USB. Цвет: красный",ws68391,"<p>Электрическая спиральная зажигалка с зарядкой USB &ndash; это инновационное устройство, предоставляющее удобный и экологически чистый способ зажигания. Её уникальный дизайн и передовая технология делают её незаменимой в повседневной жизни.</p>
<p>Спиральная конструкция зажигалки обеспечивает более широкое и стабильное пламя по сравнению с традиционными зажигалками. Это позволяет эффективно зажигать свечи, сигареты и другие предметы, требующие огня, даже при ветре или влажных условиях.</p>
<p>Одним из главных преимуществ этой зажигалки является способность заряжаться через USB-порт. Встроенный аккумулятор обеспечивает длительное время работы, и для его перезарядки вам нужно всего лишь подключить устройство к источнику питания с помощью USB-кабеля. Это удобно и практично, так как не требует замены батареек или газа.</p>
<p>Электрическая спиральная зажигалка также является безопасным решением. Она не использует открытое пламя и не требует никаких химических топлив, что уменьшает риск возгорания и делает её безопасной для использования в различных ситуациях.</p>
<p>Дизайн этой зажигалки элегантен и современен. Компактные размеры делают её удобной для ношения в кармане, сумке или рюкзаке. Она прекрасно подходит для повседневного использования, а также для путешествий, кемпинга и других мероприятий на свежем воздухе.</p>
<p>Электрическая спиральная зажигалка с зарядкой USB &ndash; это удобное и экологически дружественное решение для зажигания. Она объединяет в себе функциональность, надежность и современный стиль, делая её отличным аксессуаром для активного образа жизни.</p>",110,199,outofstock,"https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3317.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3313.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3315.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3316.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3318.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3320.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3323.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3327.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3328.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3329.jpg","Фонари, лампы, зажигалки",Зажигалки
"Универсальный разводной гаечный ключ Snapn and Grip",ws68162,"<p>Бывает, что даже имея набор ключей, не находишь нужного. Универсальный чудо-ключ купить можно только однажды, а заменит он собой большую часть целого набора ключей.<br />При этом его цена и вес значительно ниже, а удобство превосходит все ожидания.<br />Он станет замечательным подарком для любого мужчины!</p>
<p><b>Универсальный чудо ключ Snap&rsquo;N Grip</b>&nbsp;&mdash; это инструмент, который заменяет большой набор гаечных ключей.</p>
<p>Для каждого мужчины инструменты ― это своеобразный предмет гордости, &ldquo;игрушки&rdquo; и конечно же полезные в хозяйстве аксессуары.<br />С таким приспособлением Вы можете выполнять практически любые работы: починить свой автомобиль, сделать что-то по хозяйству, выполнить ремонтные работы.<br />Что бы Вы ни задумали ― с таким универсальным ключом у Вас обязательно все получится.</p>
<p>Почему покупают Чудо ключ?</p>
<p>Он заворачивает болты и гайки любого размера. Чудо ключ имеет маленький захват 9-24мм и большой захват 16-36мм.</p>
<p>Если вас коснулись вопросы строительства, благоустройства или ремонта своего жилища, автомобиля, даже если вы профессионал ― вам необходимо будет разнообразные инструменты чтобы заворачивать и отворачивать болты и гайки.</p>
<p>Для качественного и быстрого выполнения своей работы люди всегда стремятся приобрести хороший инструмент. Именно такой инструмент мы предлагаем нашим покупателям. &laquo;Универсальный Чудо-ключ Снэп эн Грип&raquo; необходим и практически не заменим в каждом доме.</p>
<p><strong>Преимущества товара:&nbsp;</strong></p>
<ul>
<li>Универсальный чудо ключ &mdash; это удобнейший инструмент, который заменяет целый набор гаечных ключей.</li>
<li>Чудо ключ имеет маленький захват 9-24 мм и большой захват 16-36 мм. Работает с гайками от самого большого до самого маленького размера, квадратными, круглыми, многогранными головками.</li>
<li>Порой бывает неудобно пользоваться обычным разводным ключом, а чудо-ключ позволяет отворачивать и заворачивать без всяких неудобств.</li>
<li>Универсальный чудо ключ на 100% заменяет разводной ключ. Он также гораздо лучше, чем газовый ключ, так как не проскальзывает на гладких поверхностях за счет мощных зубцов. Позволяет откручивать водопроводные трубы: удобно и без проскальзывания на гладких круглых поверхностях.</li>
<li>Незаменим для работы с водопроводными трубами и легко и удобно завернуть гайку на смесителе.</li>
<li>Для некоторых профессий как слесари, механик, плотники, а также работники службы спасения этот универсальный инструмент просто незаменим, ведь он достаточно легкий и удобнейший инструмент, который заменяет целый набор гаечных ключей.</li>
<li>Сколько бы вы заплатили за набор гаечных ключей плюс хороший газовый ключ? Вы явно сэкономите, вдобавок избавившись от большого количества лишнего железа.</li>
<li>Чудо ключ универсален и может быть использован как в промышленных, так и в бытовых целях.</li>
</ul>
<p><strong>Характеристики универсального ключа:&nbsp;</strong></p>
<ul>
<li>Размеры: маленький ключ длиной 215 мм, зажим от 9 до 24 мм;</li>
<li>Большой ключ длиной 280 мм, зажим от 16 до 36 мм.</li>
</ul>
<p><strong>В комплекте:&nbsp;</strong></p>
<ul>
<li>Два ключа (большой и маленький).</li>
<li>Блистерная упаковка</li>
</ul>",133,219,instock,"https://www.websklad.biz.ua/wp-content/uploads/2020/11/250834226_images_20012429986.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/73850787_images_11182697619.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/73850787_images_11182697181.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/88734381_images_15526893544.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/88734381_images_15526893096.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/88734381_images_15526892620.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/88734381_images_15526892018.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3410.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3409.jpg","Товары для дома и сада",Инструменты
"Эпилятор Yes Finishing Touch, депилятор для ног и бикини, депилятор для волос, женская бритва для бикини",ws73898,"<p>Удаление волос на теле причиняет немало неудобств &ndash; от потраченного времени до побочных эффектов вроде врастания и раздражения. Девушки пробуют один способ за другим, выбирая меньшее из зол. В отличие от остальных вариантов эпилятор&nbsp;<strong>Yes Finishing Touch</strong>&nbsp;является однозначным благом. Пользуясь интересной новинкой, вы легко и быстро устраните растительность на ногах и в прочих местах, не почувствовав боли. А новые волоски будут расти медленнее, так что следующая процедура состоится позже, чем в обычных обстоятельствах.</p>
<p>Для обеспечения комфорта и хороших результатов была предусмотрена особая конструкция лезвий эпилятора<span>&nbsp;</span><strong>Yes Finishing Touch</strong>, исключающая повреждения и помогающая сбрить все волоски до единого. За несколько минут вы избавитесь от лишней растительности на любом участке тела. Разве это не прекрасно?</p>
<p>Для эпиляции придумано много способов, но одни связаны с сильной болью, другие не подходят для чувствительной кожи, а третьи не слишком эффективны. У эпилятора<span>&nbsp;</span><strong>Yes Finishing Touch</strong>&nbsp;нет ни одного из перечисленных недостатков. В то же время у него есть достоинства.</p>
<p><strong>Преимущества:</strong></p>
<ul>
<li>Универсальный и практичный;</li>
<li>Безопасен и нежен на самой чувствительной коже;</li>
<li>Безболезненная эпиляция;</li>
<li>Предназначен для пользования как мужчинам, так и женщинам;</li>
<li>Подходит для любого возраста;</li>
<li>Не вызывает порезов, шишек или ожогов;</li>
<li>Рекомендован для всех типов кожи;</li>
<li>Подходит для любого участка тела;</li>
<li>Удобный и простой в использовании;</li>
<li>Изготовлен из высокопрочных и экологически чистых материалов.</li>
</ul>
<p><strong>Характеристики:</strong></p>
<ul>
<li>Вес: 183 г;</li>
<li>Размер упаковки: 23 х 15 х 6 см;</li>
<li>Полная комплектация;</li>
<li>Упаковка: картонная коробка;</li>
<li>Производитель: Китай.</li>
</ul>
<p><strong>Комплектация:</strong></p>
<ul>
<li>Эпилятор с кнопкой включения на корпусе;</li>
<li>2 насадки с хромированными решетками;</li>
<li>Шнур USB;</li>
<li>Щеточка для очистки насадок.</li>
</ul>",160,229,instock,"https://www.websklad.biz.ua/wp-content/uploads/k3cuvyafuyvfavy.jpg,https://www.websklad.biz.ua/wp-content/uploads/kuavyauvyfvy.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/49386558_images_12002065068.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/49386558_images_12002064822.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/49386558_images_12002064366.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3281.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3282.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3283.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3285.jpg,https://www.websklad.biz.ua/wp-content/uploads/e4kcuayvfucfyyv.jpg,https://www.websklad.biz.ua/wp-content/uploads/k3cuaucayvfyv.jpg,https://www.websklad.biz.ua/wp-content/uploads/k3cayvfuayvfvy.jpg,https://www.websklad.biz.ua/wp-content/uploads/k3cfayvukavfavyavyf.jpg,https://www.websklad.biz.ua/wp-content/uploads/e4cuyafvkucyfvayv.jpg,https://www.websklad.biz.ua/wp-content/uploads/gt4wefsdewsadefaesd.jpg,https://www.websklad.biz.ua/wp-content/uploads/49386558_images_12002063814.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/49386558_images_12002063814.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/87633814_images_12466443734.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/87633814_images_12466443332.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3284.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3287.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3288.jpg","Красота и здоровье","Бритвы / эпиляторы"
"Увлажнитель воздуха Air Purifier LR053, аромадиффузор увлажнитель воздуха для дома. Цвет: коричневый",ws42952,"<p><strong>Увлажнитель воздуха LR053</strong>&nbsp;станет незаменимым аксессуаром в офисе или доме. Модель отличается своими скромными габаритами и небольшим весом. Таким образом, не составит труда брать устройство с собой на работу, в отпуск, на дачу. Объем увлажнителя воздуха аромадиффузора LR053 составляет 130 мл. Этого хватает на достаточно большой срок, так что устройство не нужно будет постоянно заправлять. Не оставляет влажность на мебели.</p>
<p><strong>Характеристики</strong></p>
<ul>
<li>Вместимость: 130 мл</li>
<li>Рассчитан на площадь 20-25 кв.м</li>
<li>Автовыключение (при недостаточном количестве воды</li>
<li>LED- подсветка: 7 цветов</li>
<li>Производительность: 35 мл/час</li>
<li>Время работы: 3-6 часов</li>
<li>Мощность : 3W</li>
<li>Размеры : 150x 95x 95 мм</li>
<li>Ароматизация : есть</li>
<li>Управление: сенсорная кнопка</li>
<li>Питание: от USB или от сети 220В</li>
</ul>",221,349,outofstock,"https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3341.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3346.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3338.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3339.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3340.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3343.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3344.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/202172419_images_17681742217.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/202172419_images_17681741821.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/202172419_images_17681741353.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/202172419_images_17681739403.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/106385805_images_18913002487.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/106385805_images_18913001845.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/106385805_images_18913001263.jpg,https://www.websklad.biz.ua/wp-content/uploads/dsaf.jpg","Товары для дома и сада",Увлажнители
"Беспроводные наушники с сенсорным управлением Unit i11 TWS Sensor Stereo Bluetooth 5.0. Цвет: белый",ws72945,"<p><strong>Беспроводные наушники i11 TWS</strong>&nbsp;&mdash; это компактные портативные наушники, которые подарят свободу действий. Беспроводные наушники &ndash; революционное изобретение, которое не только избавит Вас от проводов, которые вечно путаются и цепляются за все вокруг.</p>
<p>Не выпадают при ходьбе, беге, занятиях спортом. Поэтому они очень удобны. Ими можно пользоваться буквально везде, наушники очень похожи на Apple AirPods</p>
<p>Превосходное качество звука, достигается благодаря самому быстрому на сегодня подключению Bluetooth 5.0. Соединение защищено от любых помех. Наушники подходят к большинству современных смартфонов и являются стильным и удобным аксессуаром.</p>
<p><strong>Особенности наушников i11 TWS Bluetooth 5.0 Super Bass:</strong></p>
<ul>
<li>Высокое качество стерео звука</li>
<li>Оригинальный вид</li>
<li>Сенсорное управление без кнопок</li>
<li>Удобная конструкция без проводов</li>
<li>Удобная зарядка прямо в кейсе</li>
<li>Совместимость с системами iOS и Android</li>
<li>Голосовые подсказки на английском языке</li>
<li>Активное шумоподавление</li>
<li>Встроенные индикаторы зарядка</li>
<li>Автоматическое сопряжение</li>
<li>Поддержка всех мобильных телефонов с Bluetooth</li>
<li>Возможность подключения к планшету или ноутбуку для просмотра фильмов или прослушивания музыки</li>
<li>Стильный современный дизайн</li>
</ul>
<p><strong>Характеристики:</strong></p>
<ul>
<li>Модель: i11 TWS</li>
<li>Тип: Bluetooth-наушники</li>
<li>Тип подключения: беспроводные</li>
<li>Звук: стерео</li>
<li>Микрофон: есть</li>
<li>Беспроводные интерфейсы: Bluetooth 5.0</li>
<li>Емкость аккумулятора бокса: 300 мАч</li>
<li>Емкость аккумулятора наушников: 30 мАч</li>
</ul>",288,349,outofstock,"https://www.websklad.biz.ua/wp-content/uploads/2020/11/105996999_images_13042317441-1.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/105996999_images_13042321851.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/105996999_images_13042320435.png,https://www.websklad.biz.ua/wp-content/uploads/2020/11/105996999_images_13042319679.png,https://www.websklad.biz.ua/wp-content/uploads/2020/11/105996999_images_13042318911.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/105996999_images_13042318143.png,https://www.websklad.biz.ua/wp-content/uploads/2020/11/138010813_images_14773496418.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3203.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/IMG_3202.jpg,https://www.websklad.biz.ua/wp-content/uploads/2020/11/105996999_images_13042317441.jpg","Наушники и гарнитура","Беспроводные наушники"
